NUMERO_REGISTRO_PRODUTO,DATA_DE_CONSUMO,QUANTIDADE_SAIDA,PREDICAO_MEDIA_MOVEL,PREDICAO_DEEPAR
100200072,2021-04-30,8,10.333333333333334,
100200072,2021-05-31,8,9.666666666666666,
100200072,2021-06-30,55,5.333333333333333,
100200072,2021-07-31,1,23.66666666666667,
100200072,2021-08-31,42,21.33333333333333,
100200072,2021-09-30,8,32.666666666666664,
100200072,2021-10-31,5,17.0,
100200072,2021-11-30,6,18.33333333333333,13.341695785522461
100200072,2021-12-31,73,6.333333333333332,18.564865112304688
100200072,2022-01-31,18,28.0,23.881975173950195
100200076,2020-02-29,6,,
100200076,2020-03-31,41,,
100200076,2020-04-30,21,,
100200076,2020-05-31,9,22.66666666666667,
100200076,2020-06-30,15,23.66666666666667,
100200076,2020-07-31,10,15.0,
100200076,2020-08-31,9,11.333333333333336,
100200076,2020-09-30,59,11.333333333333336,
100200076,2020-10-31,17,26.0,
100200076,2020-11-30,11,28.33333333333333,
100200076,2020-12-31,4,29.0,
100200076,2021-01-31,12,10.666666666666666,
100200076,2021-02-28,12,9.0,
100200076,2021-03-31,43,9.333333333333334,
100200076,2021-04-30,10,22.33333333333333,
100200076,2021-05-31,10,21.66666666666667,
100200076,2021-06-30,4,21.0,
100200076,2021-07-31,21,8.0,
100200076,2021-08-31,10,11.666666666666664,
100200076,2021-09-30,24,11.666666666666664,
100200076,2021-10-31,8,18.33333333333333,
100200076,2021-11-30,25,14.0,18.24090576171875
100200076,2021-12-31,7,19.0,18.508129119873047
100200076,2022-01-31,13,13.333333333333336,20.823699951171875
100200078,2020-02-29,3,,
100200078,2020-03-31,22,,
100200078,2020-04-30,14,,
100200078,2020-05-31,31,13.0,
100200078,2020-06-30,23,22.33333333333333,
100200078,2020-07-31,6,22.66666666666667,
100200078,2020-08-31,0,20.0,
100200078,2020-09-30,13,9.666666666666666,
100200078,2020-10-31,17,6.333333333333332,
100200078,2020-11-30,23,10.0,
100200078,2020-12-31,3,17.666666666666668,
100200078,2021-01-31,3,14.333333333333336,
100200078,2021-02-28,24,9.666666666666666,
100200078,2021-03-31,7,10.0,
100200078,2021-04-30,4,11.333333333333336,
100200078,2021-05-31,13,11.666666666666664,
100200078,2021-06-30,44,8.0,
100200078,2021-07-31,20,20.33333333333333,
100200078,2021-08-31,18,25.66666666666667,
100200078,2021-09-30,11,27.33333333333333,
100200078,2021-10-31,4,16.333333333333332,
100200078,2021-11-30,56,11.0,13.457319259643555
100200078,2021-12-31,16,23.66666666666667,11.922385215759277
100200078,2022-01-31,40,25.33333333333333,12.461498260498047
100200080,2020-02-29,18,,
100200080,2020-03-31,84,,
100200080,2020-04-30,6,,
100200080,2020-05-31,27,36.0,
100200080,2020-06-30,24,39.0,
100200080,2020-07-31,21,19.0,
100200080,2020-08-31,27,24.0,
100200080,2020-09-30,32,24.0,
100200080,2020-10-31,11,26.66666666666667,
100200080,2020-11-30,25,23.33333333333333,
100200080,2020-12-31,7,22.66666666666667,
100200080,2021-01-31,11,14.333333333333336,
100200080,2021-02-28,7,14.333333333333336,
100200080,2021-03-31,28,8.333333333333334,
100200080,2021-04-30,19,15.333333333333336,
100200080,2021-05-31,65,18.0,
100200080,2021-06-30,21,37.333333333333336,
100200080,2021-07-31,2,35.0,
100200080,2021-08-31,16,29.33333333333333,
100200080,2021-09-30,19,13.0,
100200080,2021-10-31,7,12.333333333333336,
100200080,2021-11-30,4,14.0,16.666522979736328
100200080,2021-12-31,12,10.0,22.762367248535156
100200080,2022-01-31,8,7.666666666666668,21.551137924194336
100200127,2020-02-29,45,,
100200127,2020-03-31,23,,
100200127,2020-04-30,45,,
100200127,2020-05-31,17,37.66666666666666,
100200127,2020-06-30,7,28.33333333333333,
100200127,2020-07-31,45,23.0,
100200127,2020-08-31,2,23.0,
100200127,2020-09-30,36,18.0,
100200127,2020-10-31,12,27.66666666666667,
100200127,2020-11-30,23,16.666666666666668,
100200127,2020-12-31,13,23.66666666666667,
100200127,2021-01-31,3,16.0,
100200127,2021-02-28,7,13.0,
100200127,2021-03-31,31,7.666666666666668,
100200127,2021-04-30,9,13.666666666666664,
100200127,2021-05-31,16,15.666666666666664,
100200127,2021-06-30,8,18.666666666666668,
100200127,2021-07-31,66,11.0,
100200127,2021-08-31,42,30.0,
100200127,2021-09-30,40,38.66666666666666,
100200127,2021-10-31,73,49.33333333333334,
100200127,2021-11-30,24,51.66666666666666,26.661441802978516
100200127,2021-12-31,22,45.66666666666666,18.14171028137207
100200127,2022-01-31,5,39.66666666666666,16.56951332092285
100200138,2020-02-29,1,,
100200138,2020-03-31,1,,
100200138,2020-04-30,6,,
100200138,2020-05-31,36,2.6666666666666665,
100200138,2020-06-30,7,14.333333333333336,
100200138,2020-07-31,15,16.333333333333332,
100200138,2020-08-31,14,19.33333333333333,
100200138,2020-09-30,38,12.0,
100200138,2020-10-31,17,22.33333333333333,
100200138,2020-11-30,11,23.0,
100200138,2020-12-31,1,22.0,
100200138,2021-01-31,14,9.666666666666666,
100200138,2021-02-28,13,8.666666666666666,
100200138,2021-03-31,2,9.333333333333334,
100200138,2021-04-30,7,9.666666666666666,
100200138,2021-05-31,18,7.333333333333332,
100200138,2021-06-30,79,9.0,
100200138,2021-07-31,7,34.666666666666664,
100200138,2021-08-31,4,34.666666666666664,
100200138,2021-09-30,17,30.0,
100200138,2021-10-31,3,9.333333333333334,
100200138,2021-11-30,2,8.0,11.625679016113281
100200138,2021-12-31,7,7.333333333333332,10.24777603149414
100200138,2022-01-31,34,4.0,12.854615211486816
100230025,2020-02-29,37,,
100230025,2020-03-31,1,,
100230025,2020-04-30,15,,
100230025,2020-05-31,19,17.666666666666668,
100230025,2020-06-30,4,11.666666666666664,
100230025,2020-07-31,18,12.666666666666664,
100230025,2020-08-31,38,13.666666666666664,
100230025,2020-09-30,5,20.0,
100230025,2020-10-31,40,20.33333333333333,
100230025,2020-11-30,50,27.66666666666667,
100230025,2020-12-31,19,31.66666666666667,
100230025,2021-01-31,5,36.333333333333336,
100230025,2021-02-28,0,24.66666666666667,
100230025,2021-03-31,3,8.0,
100230025,2021-04-30,29,2.6666666666666665,
100230025,2021-05-31,45,10.666666666666666,
100230025,2021-06-30,17,25.66666666666667,
100230025,2021-07-31,14,30.33333333333333,
100230025,2021-08-31,10,25.33333333333333,
100230025,2021-09-30,29,13.666666666666664,
100230025,2021-10-31,31,17.666666666666668,
100230025,2021-11-30,28,23.33333333333333,16.82978057861328
100230025,2021-12-31,37,29.33333333333333,17.626911163330078
100230025,2022-01-31,11,32.0,16.10190200805664
100230081,2020-02-29,3,,
100230081,2020-03-31,1,,
100230081,2020-04-30,11,,
100230081,2020-05-31,4,5.0,
100230081,2020-06-30,24,5.333333333333333,
100230081,2020-07-31,22,13.0,
100230081,2020-08-31,14,16.666666666666668,
100230081,2020-09-30,5,20.0,
100230081,2020-10-31,36,13.666666666666664,
100230081,2020-11-30,7,18.33333333333333,
100230081,2020-12-31,10,16.0,
100230081,2021-01-31,2,17.666666666666668,
100230081,2021-02-28,18,6.333333333333332,
100230081,2021-03-31,8,10.0,
100230081,2021-04-30,3,9.333333333333334,
100230081,2021-05-31,15,9.666666666666666,
100230081,2021-06-30,6,8.666666666666666,
100230081,2021-07-31,59,8.0,
100230081,2021-08-31,9,26.66666666666667,
100230081,2021-09-30,3,24.66666666666667,
100230081,2021-10-31,20,23.66666666666667,
100230081,2021-11-30,6,10.666666666666666,13.531237602233887
100230081,2021-12-31,1,9.666666666666666,12.17918872833252
100230081,2022-01-31,1,9.0,12.044120788574219
100230112,2020-02-29,29,,
100230112,2020-03-31,21,,
100230112,2020-04-30,2,,
100230112,2020-05-31,14,17.333333333333332,
100230112,2020-06-30,50,12.333333333333336,
100230112,2020-07-31,2,22.0,
100230112,2020-08-31,5,22.0,
100230112,2020-09-30,9,19.0,
100230112,2020-10-31,1,5.333333333333333,
100230112,2020-11-30,17,5.0,
100230112,2020-12-31,14,9.0,
100230112,2021-01-31,22,10.666666666666666,
100230112,2021-02-28,26,17.666666666666668,
100230112,2021-03-31,1,20.666666666666668,
100230112,2021-04-30,16,16.333333333333332,
100230112,2021-05-31,1,14.333333333333336,
100230112,2021-06-30,7,6.0,
100230112,2021-07-31,0,8.0,
100230112,2021-08-31,50,2.6666666666666665,
100230112,2021-09-30,2,19.0,
100230112,2021-10-31,16,17.333333333333332,
100230112,2021-11-30,3,22.66666666666667,14.345325469970703
100230112,2021-12-31,16,7.0,14.01063060760498
100230112,2022-01-31,27,11.666666666666664,13.2240629196167
100230193,2020-02-29,1,,
100230193,2020-03-31,34,,
100230193,2020-04-30,19,,
100230193,2020-05-31,11,18.0,
100230193,2020-06-30,32,21.33333333333333,
100230193,2020-07-31,7,20.666666666666668,
100230193,2020-08-31,18,16.666666666666668,
100230193,2020-09-30,40,19.0,
100230193,2020-10-31,10,21.66666666666667,
100230193,2020-11-30,11,22.66666666666667,
100230193,2020-12-31,25,20.33333333333333,
100230193,2021-01-31,1,15.333333333333336,
100230193,2021-02-28,7,12.333333333333336,
100230193,2021-03-31,8,11.0,
100230193,2021-04-30,18,5.333333333333333,
100230193,2021-05-31,31,11.0,
100230193,2021-06-30,29,19.0,
100230193,2021-07-31,7,26.0,
100230193,2021-08-31,11,22.33333333333333,
100230193,2021-09-30,6,15.666666666666664,
100230193,2021-10-31,12,8.0,
