NUMERO_REGISTRO_PRODUTO,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss_median,Coverage_median,Modelo,Tipo,RMSE,NRMSE,wQuantileLoss_median,mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,Avaliacao
110390118,27.925925925925913,12.666666666666664,45.0,15.0,22.0,0.19191919191919188,0.5777777777777776,0.36338225017470294,0.28148148148148144,7.676767676767676,12.666666666666664,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110390119,42.740740740740726,15.999999999999995,37.0,12.333333333333336,18.375,0.2902494331065759,0.4085576259489303,0.5164093767867352,0.4324324324324324,11.609977324263037,15.999999999999995,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110390133,59.03703703703702,20.666666666666664,30.0,10.0,15.5,0.4444444444444444,4.277777777777777,0.8519339738851933,0.6888888888888888,17.777777777777775,20.666666666666664,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390138,10.888888888888873,8.666666666666664,68.0,22.66666666666667,10.5,0.27513227513227506,0.12792643786795832,0.13961936935808048,0.12745098039215685,11.005291005291005,8.666666666666664,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110390151,195.33333333333331,28.0,84.0,28.0,19.125,0.4880174291938998,0.2575438596491228,0.3405441518649066,0.3333333333333333,19.520697167755987,28.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390152,111.11111111111104,27.999999999999996,89.0,29.66666666666667,15.5,0.6021505376344084,0.4318962627786156,0.3377299760210233,0.31460674157303364,24.086021505376333,27.999999999999996,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390169,179.62962962962948,37.99999999999999,63.0,21.0,26.0,0.48717948717948706,0.6735501949317736,0.5297939288533929,0.6031746031746029,19.48717948717948,37.99999999999999,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390187,624.9629629629627,72.0,97.0,32.333333333333336,17.375,1.3812949640287773,2.72053872053872,0.8633895242352736,0.7422680412371134,55.25179856115106,72.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390198,173.11111111111126,39.33333333333335,95.0,31.66666666666667,11.5,1.1400966183574883,0.4806644880174294,0.40408594368446576,0.4140350877192984,45.603864734299535,39.33333333333335,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110390201,160.96296296296302,32.0,60.0,20.0,10.875,0.9808429118773946,2.320166714028607,0.6633947447900936,0.5333333333333333,39.23371647509579,32.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110390216,136.1851851851852,27.666666666666664,65.0,21.66666666666667,22.125,0.4168236032642812,0.4185185185185185,0.4987580725285644,0.4256410256410256,16.672944130571253,27.666666666666664,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110500008,34.18518518518516,16.999999999999993,55.0,18.33333333333333,9.75,0.5811965811965809,0.35995370370370344,0.316303579461474,0.30909090909090897,23.24786324786324,16.999999999999993,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110500015,3.333333333333333,4.0,36.0,12.0,12.375,0.10774410774410774,0.10476190476190476,0.1150877192982456,0.1111111111111111,4.30976430976431,4.0,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110500020,39.03703703703704,15.333333333333332,24.0,8.0,23.0,0.2222222222222222,1.1986928104575163,0.6629885057471264,0.6388888888888888,8.888888888888888,15.333333333333332,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110500035,374.00000000000006,58.00000000000001,104.0,34.666666666666664,20.75,0.9317269076305222,0.7293200321064098,0.6402806309815914,0.5576923076923077,37.26907630522089,58.00000000000001,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110500043,174.51851851851848,30.666666666666664,51.0,17.0,16.375,0.6242578456318914,1.1880341880341876,0.7761904761904761,0.6013071895424836,24.970313825275653,30.666666666666664,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110500049,156.14814814814815,37.33333333333333,52.0,17.333333333333332,13.625,0.91335372069317,1.7407407407407407,0.8571428571428572,0.7179487179487178,36.53414882772681,37.33333333333333,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110520001,95.14814814814815,23.66666666666667,87.0,29.0,15.75,0.5008818342151676,0.2583778966131908,0.3041186015822805,0.27203065134099624,20.035273368606703,23.66666666666667,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110570032,119.03703703703708,29.333333333333343,120.0,40.0,21.75,0.4495530012771393,0.2564432415575159,0.2566187037902793,0.2444444444444445,17.982120051085573,29.333333333333343,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110570034,288.7407407407407,44.66666666666666,60.0,20.0,12.125,1.2279495990836191,0.3478818998716301,0.954862341959116,0.7444444444444442,49.117983963344784,44.66666666666666,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110630007,247.74074074074062,38.99999999999999,39.0,13.0,15.625,0.8319999999999996,12.135135135135135,1.2106507324999345,0.9999999999999996,33.279999999999994,38.99999999999999,1.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110630057,366.4074074074074,55.0,66.0,22.0,17.75,1.0328638497652582,2.2943696450428392,0.8579572375550225,0.8333333333333334,41.31455399061033,55.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110630068,109.37037037037037,28.333333333333336,48.0,16.0,10.875,0.8684546615581098,1.2996632996633,0.6971136280599196,0.5902777777777778,34.7381864623244,28.333333333333336,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110630071,267.40740740740745,46.0,39.0,13.0,9.5,1.6140350877192984,6.307017543859649,1.5334538878842678,1.1794871794871795,64.56140350877193,46.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110630076,424.77777777777777,55.66666666666666,98.0,32.666666666666664,19.0,0.9766081871345028,0.8293128654970761,0.6517064167604568,0.5680272108843537,39.06432748538011,55.66666666666666,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110630078,66.0,16.0,90.0,30.0,15.375,0.34688346883468835,0.14014922363379714,0.16265078637959995,0.17777777777777778,13.875338753387535,16.0,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110630159,148.62962962962968,26.333333333333343,92.0,30.66666666666667,18.25,0.4809741248097414,0.2594989684644858,0.28118033060524034,0.2862318840579711,19.238964992389654,26.333333333333343,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
